_time,EC,Humidity_percent,PH,Temperature_C,WaterTemp_C
2023-10-25 16:09:18.669000+00:00,0.54,64.6,7.47,23.8,21.37
2023-10-25 16:14:31.133000+00:00,0.48,65.6,7.53,23.6,21.44
2023-10-25 16:19:43.388000+00:00,0.45,63.9,7.52,23.9,21.5
2023-10-25 16:24:52.364000+00:00,0.45,63.7,7.45,24.1,21.56
2023-10-25 16:30:00.711000+00:00,0.48,62.6,7.42,24.3,21.5
2023-10-25 16:35:08.255000+00:00,0.45,62,7.41,24.4,21.5
2023-10-25 16:40:20.039000+00:00,0.48,61,7.39,24.6,21.5
2023-10-25 16:45:27.848000+00:00,0.45,60.9,7.37,24.6,21.56
2023-10-25 16:50:35.849000+00:00,0.45,60.3,7.36,24.7,21.5
2023-10-25 16:55:43.244000+00:00,0.48,60,7.35,24.7,21.44
2023-10-25 17:00:52.840000+00:00,0.45,59.7,7.34,24.7,21.5
2023-10-25 17:06:00.451000+00:00,0.48,59.6,7.32,24.8,21.44
2023-10-25 17:11:08.668000+00:00,0.48,59,7.33,24.8,21.5
2023-10-25 17:16:17.398000+00:00,0.48,58.8,7.34,24.8,21.44
2023-10-25 17:21:24.791000+00:00,0.48,58.7,7.32,24.9,21.44
2023-10-25 17:26:32.298000+00:00,0.51,59,7.33,24.9,21.44
2023-10-25 17:31:39.529000+00:00,0.51,58.8,7.33,24.9,21.44
2023-10-25 17:36:47.039000+00:00,0.51,58.7,7.33,25,21.44
2023-10-25 17:41:54.741000+00:00,0.54,58.2,7.31,24.9,21.37
2023-10-25 17:47:07.191000+00:00,0.54,58.6,7.33,25,21.37
2023-10-25 17:52:14.471000+00:00,0.51,58.3,7.35,24.9,21.37
2023-10-25 17:57:22.434000+00:00,0.54,57.8,7.35,25,21.44
2023-10-25 18:02:31.018000+00:00,0.54,57.6,7.35,25,21.37
2023-10-25 18:07:40.504000+00:00,0.54,57.8,7.35,25,21.44
2023-10-25 18:12:48.073000+00:00,0.57,57.6,7.36,25.1,21.37
2023-10-25 18:17:56.015000+00:00,0.57,57.3,7.35,25,21.37
2023-10-25 18:23:03.520000+00:00,0.57,57.5,7.37,25,21.37
2023-10-25 18:28:10.807000+00:00,0.61,57.2,7.37,25,21.37
2023-10-25 18:33:23.074000+00:00,0.57,57.3,7.38,25,21.37
2023-10-25 18:38:31.128000+00:00,0.61,57.7,7.38,25,21.37
2023-10-25 18:43:38.435000+00:00,0.61,58,7.38,25,21.37
2023-10-25 18:48:45.810000+00:00,0.64,57.4,7.37,25,21.37
2023-10-25 18:53:55.203000+00:00,0.64,57.1,7.37,25,21.37
2023-10-25 18:59:02.888000+00:00,0.64,57.7,7.38,25,21.37
2023-10-25 19:04:10.630000+00:00,0.67,57.7,7.37,25,21.37
2023-10-25 19:09:18.017000+00:00,0.64,57.9,7.38,25,21.37
2023-10-25 19:14:27.419000+00:00,0.7,57.3,7.39,25,21.31
2023-10-25 19:19:34.450000+00:00,0.67,57.4,7.38,25,21.37
2023-10-25 19:24:41.804000+00:00,0.7,57.5,7.37,25,21.31
2023-10-25 19:29:49.588000+00:00,0.67,57.5,7.38,25,21.31
